"grid_id","cd_mun","adjusted_share_mun_tocr","idsbrazil"
4932,"2205458",0.8265089585168143,"""-42p25.-3p75.BRA"""
4931,"2205458",0.17349104148318367,"""-42p25.-3p25.BRA"""
4477,"2209757",0.7577212748610039,"""-45p25.-10p25.BRA"""
4399,"2209757",0.07811792398685559,"""-45p75.-10p25.BRA"""
4398,"2209757",0.0112430627869543,"""-45p75.-9p75.BRA"""
4476,"2209757",0.15291773836518638,"""-45p25.-9p75.BRA"""
5557,"2310852",1.0000000000000018,"""-38p25.-4p25.BRA"""
6029,"2413201",1.0000000000000009,"""-35p25.-6p25.BRA"""
5638,"2414902",0.7079019551025875,"""-37p75.-5p75.BRA"""
5639,"2414902",0.29209804489740354,"""-37p75.-6p25.BRA"""
5796,"2516755",0.8658737667579689,"""-36p75.-6p75.BRA"""
5797,"2516755",0.13412623324203113,"""-36p75.-7p25.BRA"""
5416,"2930501",0.4850730066747971,"""-39p25.-11p75.BRA"""
5494,"2930501",0.5149269933252048,"""-38p75.-11p75.BRA"""
5877,"2603108",0.6392479516153439,"""-36p25.-8p25.BRA"""
5878,"2603108",0.36075204838466235,"""-36p25.-8p75.BRA"""
4951,"2931053",0.04926146505314748,"""-42p25.-13p25.BRA"""
4873,"2931053",0.1850324677238494,"""-42p75.-13p25.BRA"""
4952,"2931053",0.32739516049442335,"""-42p25.-13p75.BRA"""
4874,"2931053",0.43831090672858014,"""-42p75.-13p75.BRA"""
4810,"3108701",1.0000000000000024,"""-43p25.-20p75.BRA"""
4651,"3109600",0.15069593925913874,"""-44p25.-19p25.BRA"""
4573,"3109600",0.05366676713272609,"""-44p75.-19p25.BRA"""
4574,"3109600",0.11124450692046775,"""-44p75.-19p75.BRA"""
4652,"3109600",0.6843927866876682,"""-44p25.-19p75.BRA"""
5115,"3113008",0.3733635748696653,"""-41p25.-17p25.BRA"""
5037,"3113008",0.6118430340347663,"""-41p75.-17p25.BRA"""
5036,"3113008",0.014793391095565387,"""-41p75.-16p75.BRA"""
5035,"3117009",1.0000000000000002,"""-41p75.-16p25.BRA"""
4574,"3117603",1.0000000000000002,"""-44p75.-19p75.BRA"""
5720,"2606903",0.7531052048846375,"""-37p25.-7p75.BRA"""
5642,"2606903",0.246894795115363,"""-37p75.-7p75.BRA"""
4889,"3128402",0.22916866487039309,"""-42p75.-21p25.BRA"""
4811,"3128402",0.7708313351296026,"""-43p25.-21p25.BRA"""
4577,"3134509",0.9999999999999972,"""-44p75.-21p25.BRA"""
4646,"3135605",0.032242645316978374,"""-44p25.-16p75.BRA"""
4569,"3135605",0.41091471454300327,"""-44p75.-17p25.BRA"""
4647,"3135605",0.5568426401400177,"""-44p25.-17p25.BRA"""
4730,"3137601",0.9999999999999998,"""-43p75.-19p75.BRA"""
